host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T01:44:23.196533,202.020,91.00,-0.5391,-0.3760,-0.7277,0.2441,13.2446,6.4697
2026-02-13T01:44:23.346331,202.170,24.00,-0.6182,-0.1738,-0.7928,-0.5493,-2.3804,-2.0752
2026-02-13T01:44:23.496613,202.320,48.00,-0.7241,-0.3136,-0.9174,-0.9155,-8.1787,10.0708
2026-02-13T01:44:23.646632,202.470,78.00,-0.6143,-0.1282,-0.8046,-5.0659,-20.6909,8.7891
2026-02-13T01:44:23.796455,202.620,110.00,-0.5623,-0.1200,-0.8162,2.3804,-21.1792,9.3994
2026-02-13T01:44:23.946221,202.770,76.00,-0.3746,-0.1323,-0.7469,12.2070,-16.1133,0.3052
2026-02-13T01:44:24.096653,202.920,88.00,-0.1504,-0.1849,-0.6698,-0.1831,-34.2407,9.9487
2026-02-13T01:44:24.246274,203.070,57.00,-0.3073,-0.0784,-0.7703,-8.6670,29.5410,-3.8452
2026-02-13T01:44:24.396460,203.220,91.00,-0.4751,-0.1766,-0.7804,-1.7700,32.4097,-3.7842
2026-02-13T01:44:24.546312,203.370,93.00,-0.6052,-0.0035,-0.8654,0.4272,32.8369,4.0283
2026-02-13T01:44:24.696197,203.520,91.00,-0.7206,-0.1279,-0.8873,0.4272,15.9302,-2.6245
2026-02-13T01:44:24.846739,203.670,24.00,-0.6719,-0.0977,-0.8304,-2.6245,2.0142,-1.1597
2026-02-13T01:44:24.996350,203.820,33.00,-0.7329,-0.1619,-0.9678,1.7700,-0.7935,4.6997
2026-02-13T01:44:25.146084,203.970,90.00,-0.6730,-0.1025,-0.8784,-2.6245,-28.4424,7.3853
2026-02-13T01:44:25.296239,204.120,103.00,-0.5088,-0.0487,-0.8018,9.2773,-30.5786,-0.3052
2026-02-13T01:44:25.446316,204.270,89.00,-0.4744,-0.0381,-0.7874,12.0850,-23.2544,-7.4463
2026-02-13T01:44:25.596206,204.420,89.00,-0.2825,0.1179,-0.4498,-10.0098,-28.1982,-1.1597
2026-02-13T01:44:25.746307,204.570,82.00,-0.3330,-0.0089,-0.8558,-6.2866,20.0195,2.8076
2026-02-13T01:44:25.896095,204.720,90.00,-0.5038,0.2269,-1.0531,-7.9346,26.9775,2.3804
2026-02-13T01:44:26.046402,204.870,83.00,-0.6921,-0.1283,-0.9817,1.2207,22.2168,7.9346
2026-02-13T01:44:26.196117,205.020,88.00,-0.6866,0.2587,-0.8423,-11.7798,24.5361,-0.4883
2026-02-13T01:44:26.346083,205.170,71.00,-0.6621,-0.0333,-0.9845,-7.6904,6.7749,3.9062
2026-02-13T01:44:26.496228,205.320,40.00,-0.8323,-0.0156,-1.0570,2.4414,-7.8735,-2.8687
2026-02-13T01:44:26.646165,205.470,41.00,-0.6826,-0.0388,-0.8333,6.2866,-19.0430,-3.3569
2026-02-13T01:44:26.796333,205.620,96.00,-0.5723,-0.0049,-0.8118,2.0142,-23.7427,-0.9766
2026-02-13T01:44:26.946192,205.770,95.00,-0.3966,0.1754,-0.7927,-9.1553,-17.8223,3.7231
2026-02-13T01:44:27.096424,205.920,89.00,-0.3778,0.0682,-0.9191,-21.6675,-31.7993,11.3525
2026-02-13T01:44:27.246358,206.070,91.00,-0.2964,-0.0768,-0.8171,6.9580,18.7378,-2.4414
2026-02-13T01:44:27.396360,206.220,82.00,-0.4613,-0.0062,-1.0074,-4.3945,20.4468,1.5259
2026-02-13T01:44:27.546361,206.370,80.00,-0.5465,-0.1847,-0.9037,10.4980,34.1187,-1.2817
2026-02-13T01:44:27.695969,206.520,94.00,-0.6050,0.0469,-0.7057,-2.3193,34.3018,-2.8687
2026-02-13T01:44:27.845958,206.670,84.00,-0.5430,-0.1512,-0.6952,1.7700,22.7661,-1.7700
2026-02-13T01:44:27.995820,206.820,27.00,-0.6646,0.0598,-0.7759,-9.8877,14.0991,3.1128
2026-02-13T01:44:28.146065,206.970,45.00,-0.6729,-0.0813,-0.8984,4.6387,-21.4844,1.2207
2026-02-13T01:44:28.296357,207.120,82.00,-0.5668,-0.1196,-0.7738,-2.8076,-33.7524,3.7842
2026-02-13T01:44:28.446135,207.270,99.00,-0.4763,-0.1884,-0.8403,-5.7983,-35.4614,4.5166
2026-02-13T01:44:28.596108,207.420,79.00,-0.4099,0.0322,-0.8301,-5.7373,-24.1089,-0.6714
2026-02-13T01:44:28.746349,207.570,84.00,-0.2780,-0.0081,-0.2395,6.1646,-3.7842,-8.6060
2026-02-13T01:44:28.896005,207.720,70.00,-0.3451,-0.1488,-0.9124,6.1035,31.9824,-3.8452
2026-02-13T01:44:29.046245,207.870,95.00,-0.5549,0.0013,-0.8671,-6.4087,36.9263,0.7324
2026-02-13T01:44:29.195996,208.020,86.00,-0.5187,-0.2848,-0.8729,-4.6997,28.9307,10.4980
2026-02-13T01:44:29.345996,208.170,83.00,-0.6494,0.1674,-0.8650,-10.1929,10.2539,5.9814
2026-02-13T01:44:29.496186,208.320,32.00,-0.7213,0.0006,-0.8391,3.1738,-1.7090,-0.3662
2026-02-13T01:44:29.646209,208.470,31.00,-0.7117,-0.1475,-0.9755,1.6479,-12.5122,4.7607
2026-02-13T01:44:29.796343,208.620,107.00,-0.6250,-0.0073,-0.8302,0.9155,-17.8833,4.7607
2026-02-13T01:44:29.946174,208.770,83.00,-0.5665,-0.0911,-0.8141,-0.3052,-31.0669,-0.7935
2026-02-13T01:44:30.096148,208.920,79.00,-0.4142,-0.0016,-0.7620,5.4321,-20.8130,-8.8501
2026-02-13T01:44:30.246027,209.070,79.00,-0.2946,0.2244,-0.2482,-6.5918,4.7607,-6.8970
2026-02-13T01:44:30.396000,209.220,122.00,-0.4741,-0.0734,-0.8099,3.7231,23.5596,-0.9155
2026-02-13T01:44:30.546203,209.370,94.00,-0.5679,-0.2898,-0.9503,27.6489,31.4331,-9.5825
2026-02-13T01:44:30.695867,209.520,87.00,-0.6528,-0.1671,-0.8331,5.9204,11.1694,-2.6855
2026-02-13T01:44:30.846107,209.670,71.00,-0.7355,0.0980,-0.8842,-0.9155,3.0518,-2.1973
